steering,left_speed,right_speed
0,10,10
0,20,20
0,30,30
0,40,40
0,50,50
-1,50,50
-2,50,50
-2,60,60
-2,70,70
-2,80,80
-2,90,90
-2,100,100
-2,110,110
-2,120,120
-2,130,130
-2,140,140
-2,150,150
-2,160,160
-2,170,170
-2,180,180
-2,190,190
-2,200,200
-2,210,210
-2,220,220
-2,230,230
-2,240,240
-1,240,240
0,240,240
1,240,240
1,250,250
1,255,255
1,255,255
1,255,255
1,255,255
1,255,255
1,255,255
0,255,255
-1,255,255
-1,255,255
-1,255,255
-2,255,255
-3,255,255
-3,255,255
-3,255,255
-2,255,255
-1,255,255
0,255,255
1,255,255
1,255,255
1,255,255
1,255,255
1,255,255
2,255,255
3,255,255
4,255,255
5,255,255
6,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
6,255,255
5,255,255
4,255,255
3,255,255
2,255,255
1,255,255
0,255,255
-1,255,255
-2,255,255
-3,255,255
-4,255,255
-3,255,255
-2,255,255
-1,255,255
0,255,255
1,255,255
2,255,255
2,255,255
2,255,255
1,255,255
0,255,255
-1,255,255
-2,255,255
-3,255,255
-3,255,255
-3,255,255
-2,255,255
-1,255,255
0,255,255
1,255,255
2,255,255
3,255,255
4,255,255
5,255,255
6,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,255,255
7,245,245
7,235,235
7,225,225
6,225,225
6,215,215
5,215,215
4,215,215
3,215,215
2,215,215
2,205,205
1,205,205
0,205,205
0,195,195
0,185,185
0,175,175
0,165,165
0,155,155
0,145,145
-1,145,145
-1,135,135
-1,125,125
-1,115,115
-1,105,105
-1,95,95
-1,85,85
-1,75,75
-1,65,65
-1,55,55
-1,45,45
-1,35,35
-1,25,25
-1,15,15
