easting,northing,altitude
317779.6964166176,4159180.487840677,78.738
317780.00155806344,4159179.4930975027,76.42
317780.0471245972,4159178.348632461,73.273
317779.150582833,4159178.1684925156,73.58200000000001
317777.2874418469,4159177.0326397256,69.312
317776.7180938923,4159176.057101193,69.437
317777.09755628684,4159175.2272496764,73.888
317776.6325011215,4159174.1717095915,75.803
317774.56777961645,4159173.917310376,74.71600000000001
317772.8834344793,4159173.277103719,73.46900000000001
317771.51757269254,4159172.6521061277,72.15
317770.56614139955,4159171.984702289,71.119
317770.2401634471,4159171.2258512215,70.23
317769.50072943757,4159170.553791635,68.352
317768.7230380261,4159169.7493531625,68.002
317768.0447053034,4159169.042646994,68.109
317767.9177485424,4159168.090697933,68.357
317767.19037548534,4159167.1630369225,67.768
317767.1194025086,4159165.9434200246,67.532
317766.84745835117,4159164.8281312715,67.155
317766.54925811593,4159163.7245207666,66.764
317766.2665309984,4159162.520656076,65.932
317765.9638839722,4159161.616971985,64.642
317765.5930079525,4159160.8258023397,63.82
317765.3335522193,4159159.8767632977,63.508
317764.6439481997,4159159.059288933,63.135
317763.9754823446,4159157.997115243,63.105000000000004
317763.4596185299,4159157.042606028,62.656
317763.257364847,4159155.8813803946,62.628
317762.963854201,4159154.5889398474,62.981
317762.6114351703,4159153.431012255,63.084
317762.040378115,4159152.3778009284,62.731
317761.4771793572,4159151.2800106597,62.598
317760.9402365141,4159150.1705421684,62.402
317760.5863548259,4159148.9460371863,62.589
317760.1971400222,4159147.7223082334,62.604
317759.7205673735,4159146.5449043186,62.442
317759.2358924625,4159145.400983167,62.265
317758.83906261285,4159144.232929495,62.2
317758.4444260334,4159143.164742041,61.883
317758.0203650783,4159141.963981691,61.697
317757.61348312005,4159140.7406408577,61.550000000000004
317757.49858620967,4159139.533090305,61.475
317757.4438161807,4159138.246507998,61.405
317757.21189338324,4159136.9416133435,61.35
317756.82438362186,4159135.7955582384,61.02
317756.3531715593,4159134.8622718668,60.801
317755.5458723899,4159135.1242379877,59.966
317755.42549925926,4159136.081619126,59.998000000000005
317755.0587098885,4159137.488476299,59.701
317755.0786346456,4159138.7980271275,59.621
317755.42149079987,4159139.9228597144,59.717
317755.739065641,4159141.103755559,59.713
317756.1439981797,4159142.238326358,59.473
317756.4956873414,4159143.3629649756,59.363
317756.95264440705,4159144.4519867823,59.393
317757.42062800477,4159145.640680806,59.417
317758.04687898,4159146.792594001,59.397
317758.6714238357,4159147.86683353,59.506
317758.7526934948,4159149.1528338366,59.22
317759.07294839364,4159150.455788483,59.154
317759.8712334302,4159151.3929930525,59.721000000000004
317760.31052318343,4159152.4824030353,59.573
317760.54811032605,4159153.6428525937,59.392
317760.916733908,4159154.733814637,59.374
317761.6266858808,4159155.6729593975,59.523
317762.04215622635,4159156.885010158,59.425000000000004
317762.5199465831,4159158.11789541,59.45
317762.83751991496,4159159.298791497,59.405
317763.39164108573,4159160.385679602,59.387
317764.1207210305,4159161.3910140186,59.39
317765.1476939601,4159162.278790063,59.495000000000005
317766.2239505522,4159163.39861737,59.88
317766.84136589046,4159164.5507251625,59.999
317767.48381859297,4159165.6356735392,60.162
317767.6092531106,4159166.9207039247,60.06
317767.76855835505,4159168.1383808563,59.831
317767.8449527116,4159169.20245634,59.14
317767.8994776155,4159170.477942462,58.632
317767.90934897447,4159171.732206082,58.161
317768.1047181482,4159172.982395769,58.13
317768.7120809032,4159174.0792164565,58.122
317766.9935642428,4159175.504658438,55.800000000000004
317765.67899948265,4159176.410555564,54.069
317764.71581435564,4159177.2199229253,52.711
317764.91179125354,4159177.6929874364,52.651
317764.73165500443,4159177.9411788275,52.396
317764.7336046229,4159178.029948784,52.53
317764.96497434535,4159178.102578487,52.783
317765.1784339156,4159178.1644999525,53.044000000000004
317765.3042923572,4159178.2616501544,53.223
317765.4392277177,4159178.3697026037,53.477000000000004
317765.5206763358,4159178.456726563,53.671
